match_id,innings,venue,batting_team,bowling_team,Totalruns,batsmen,bowlers
335982,1,M Chinnaswamy Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,61,['SC Ganguly' 'BB McCullum' 'RT Ponting'],['P Kumar' 'Z Khan' 'AA Noffke']
335982,2,M Chinnaswamy Stadium,Royal Challengers Bangalore,Kolkata Knight Riders,26,['R Dravid' 'W Jaffer' 'V Kohli' 'JH Kallis' 'CL White' 'MV Boucher'],['AB Dinda' 'I Sharma' 'AB Agarkar']
335983,1,"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings,Kings XI Punjab,53,['PA Patel' 'ML Hayden' 'MEK Hussey'],['B Lee' 'S Sreesanth' 'JR Hopes']
335983,2,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Chennai Super Kings,63,['K Goel' 'JR Hopes'],['JDP Oram' 'MS Gony']
335984,1,Feroz Shah Kotla,Rajasthan Royals,Delhi Daredevils,40,['T Kohli' 'YK Pathan' 'SR Watson' 'M Kaif'],['GD McGrath' 'B Geeves' 'MF Maharoof']
335984,2,Feroz Shah Kotla,Delhi Daredevils,Rajasthan Royals,55,['G Gambhir' 'V Sehwag' 'S Dhawan'],['MM Patel' 'SR Watson' 'SK Trivedi']
335985,1,Wankhede Stadium,Mumbai Indians,Royal Challengers Bangalore,47,['L Ronchi' 'ST Jayasuriya' 'DJ Thornely' 'RV Uthappa' 'PR Shah'],['P Kumar' 'Z Khan' 'JH Kallis']
335985,2,Wankhede Stadium,Royal Challengers Bangalore,Mumbai Indians,40,['S Chanderpaul' 'R Dravid' 'LRPL Taylor'],['A Nehra' 'SM Pollock' 'DS Kulkarni']
335986,1,Eden Gardens,Deccan Chargers,Kolkata Knight Riders,39,['AC Gilchrist' 'Y Venugopal Rao' 'VVS Laxman' 'A Symonds'],['AB Dinda' 'I Sharma' 'AB Agarkar']
335986,2,Eden Gardens,Kolkata Knight Riders,Deccan Chargers,26,['WP Saha' 'BB McCullum' 'RT Ponting' 'SC Ganguly' 'DJ Hussey'],['WPUJC Vaas' 'RP Singh' 'SB Styris']
335987,1,Sawai Mansingh Stadium,Kings XI Punjab,Rajasthan Royals,54,['K Goel' 'JR Hopes' 'KC Sangakkara'],['MM Patel' 'SR Watson' 'SK Trivedi']
335987,2,Sawai Mansingh Stadium,Rajasthan Royals,Kings XI Punjab,53,['M Kaif' 'YK Pathan' 'Kamran Akmal' 'SR Watson' 'DS Lehmann'],['B Lee' 'S Sreesanth' 'JR Hopes']
335988,1,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,Delhi Daredevils,25,['AC Gilchrist' 'Y Venugopal Rao' 'VVS Laxman' 'A Symonds'],['GD McGrath' 'Mohammad Asif']
335988,2,"Rajiv Gandhi International Stadium, Uppal",Delhi Daredevils,Deccan Chargers,48,['G Gambhir' 'V Sehwag' 'S Dhawan'],['WPUJC Vaas' 'RP Singh']
335989,1,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Mumbai Indians,53,['PA Patel' 'ML Hayden' 'MEK Hussey' 'SK Raina'],['SM Pollock' 'A Nehra' 'DS Kulkarni']
335989,2,"MA Chidambaram Stadium, Chepauk",Mumbai Indians,Chennai Super Kings,52,['L Ronchi' 'ST Jayasuriya' 'RV Uthappa' 'SM Pollock'],['JDP Oram' 'MS Gony']
335990,1,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,Rajasthan Royals,58,['AC Gilchrist' 'VVS Laxman' 'Shahid Afridi' 'A Symonds'],['MM Patel' 'SR Watson' 'YK Pathan']
335990,2,"Rajiv Gandhi International Stadium, Uppal",Rajasthan Royals,Deccan Chargers,73,['Kamran Akmal' 'GC Smith' 'YK Pathan'],['WPUJC Vaas' 'RP Singh' 'PP Ojha']
335991,1,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Mumbai Indians,60,['K Goel' 'IK Pathan' 'KC Sangakkara'],['SM Pollock' 'A Nehra' 'DS Kulkarni']
335991,2,"Punjab Cricket Association Stadium, Mohali",Mumbai Indians,Kings XI Punjab,39,['L Ronchi' 'ST Jayasuriya' 'RV Uthappa' 'DJ Bravo'],['B Lee' 'IK Pathan' 'VRV Singh' 'S Sreesanth']
335992,1,M Chinnaswamy Stadium,Royal Challengers Bangalore,Rajasthan Royals,57,['S Chanderpaul' 'R Dravid' 'LRPL Taylor' 'JH Kallis'],['SR Watson' 'Sohail Tanvir' 'MM Patel']
335992,2,M Chinnaswamy Stadium,Rajasthan Royals,Royal Challengers Bangalore,45,['GC Smith' 'M Rawat' 'YK Pathan' 'SR Watson'],['P Kumar' 'Z Khan' 'R Vinay Kumar']
335993,1,"MA Chidambaram Stadium, Chepauk",Kolkata Knight Riders,Chennai Super Kings,61,['SC Ganguly' 'BB McCullum' 'RT Ponting' 'WP Saha' 'DJ Hussey'],['JDP Oram' 'MS Gony' 'P Amarnath']
335993,2,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Kolkata Knight Riders,45,['PA Patel' 'ML Hayden'],['AB Dinda' 'I Sharma' 'AB Agarkar']
335994,1,Dr DY Patil Sports Academy,Mumbai Indians,Deccan Chargers,27,['L Ronchi' 'ST Jayasuriya' 'AM Rahane' 'RV Uthappa' 'SM Pollock'],['RP Singh' 'DNT Zoysa' 'SB Bangar' 'Shahid Afridi']
335994,2,Dr DY Patil Sports Academy,Deccan Chargers,Mumbai Indians,60,['AC Gilchrist' 'VVS Laxman'],['A Nehra' 'SM Pollock' 'DS Kulkarni' 'ST Jayasuriya' 'SD Chitnis']
335995,1,"Punjab Cricket Association Stadium, Mohali",Delhi Daredevils,Kings XI Punjab,45,['G Gambhir' 'V Sehwag' 'S Dhawan' 'Shoaib Malik'],['B Lee' 'IK Pathan' 'S Sreesanth' 'VRV Singh']
335995,2,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Delhi Daredevils,55,['K Goel' 'SM Katich' 'KC Sangakkara' 'DPMD Jayawardene'],['GD McGrath' 'Mohammad Asif' 'MF Maharoof']
